sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,6.782733209839352,1.4760951141617669,Baseline,4.0,delta_sdr
4.0,8.067511613809616,1.9589238907262692,Baseline,4.0,delta_sdr
6.0,8.843429604721418,1.9295095520792618,Baseline,4.0,delta_sdr
8.0,9.154748965328595,1.6019164733800704,Baseline,4.0,delta_sdr
2.0,6.659578317391298,1.4547339631375662,Dynamic,4.0,delta_sdr
4.0,8.154438475465561,1.9375769342339448,Dynamic,4.0,delta_sdr
6.0,8.969362189094673,1.9440263674958282,Dynamic,4.0,delta_sdr
8.0,9.348410220026278,1.6723389501833046,Dynamic,4.0,delta_sdr
2.0,5.691309334073333,1.1677170416577092,ML1,4.0,delta_sdr
4.0,6.2190445055329215,1.2189401154493174,ML1,4.0,delta_sdr
6.0,6.322722300093789,1.2878494427669123,ML1,4.0,delta_sdr
8.0,6.115100133980721,1.2947304429809081,ML1,4.0,delta_sdr
2.0,6.793064064132797,1.4112083474173742,ML2,4.0,delta_sdr
4.0,8.36821327565583,1.7682019342924948,ML2,4.0,delta_sdr
6.0,9.186820195839731,1.9247752108192016,ML2,4.0,delta_sdr
8.0,9.525924387737417,1.794804238255995,ML2,4.0,delta_sdr
