sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,270588.3,45150.82718843588,Baseline,4.0,cycles
3.0,358350.6,51754.62763789188,Baseline,4.0,cycles
5.0,399970.25,49715.616765840234,Baseline,4.0,cycles
7.0,423804.15,46388.760497021256,Baseline,4.0,cycles
1.0,191407.15,28772.6487800206,Dynamic,4.0,cycles
3.0,249572.7,32574.898570105048,Dynamic,4.0,cycles
5.0,276220.15,31117.471760504406,Dynamic,4.0,cycles
7.0,291041.3,28665.688701780186,Dynamic,4.0,cycles
1.0,253.0,0.0,ML1,4.0,cycles
3.0,253.0,0.0,ML1,4.0,cycles
5.0,253.0,0.0,ML1,4.0,cycles
7.0,253.0,0.0,ML1,4.0,cycles
1.0,122363.1,19531.279441476756,ML2,4.0,cycles
3.0,159665.35,22650.80079977422,ML2,4.0,cycles
5.0,176507.7,22631.83723290803,ML2,4.0,cycles
7.0,185327.5,21700.644905527326,ML2,4.0,cycles
