sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,1.8608827114105224,0.3923665329560657,Baseline,1.0,processing_time
3.0,2.519865298271179,0.5186212420982421,Baseline,1.0,processing_time
5.0,2.789245808124542,0.5029392886801523,Baseline,1.0,processing_time
7.0,2.9661975502967834,0.4317645493568771,Baseline,1.0,processing_time
1.0,1.846991515159607,0.34381780322943145,Dynamic,1.0,processing_time
3.0,2.4435980796813963,0.3965851107394591,Dynamic,1.0,processing_time
5.0,2.6221187472343446,0.38606295665981455,Dynamic,1.0,processing_time
7.0,2.76447788476944,0.3382069446447282,Dynamic,1.0,processing_time
1.0,0.5939144492149353,0.21201551545339567,ML1,1.0,processing_time
3.0,0.5261633515357971,0.03235987977568106,ML1,1.0,processing_time
5.0,0.5733021974563599,0.03428496370578112,ML1,1.0,processing_time
7.0,0.5452014327049255,0.05148769483068419,ML1,1.0,processing_time
1.0,1.8187780499458313,0.4483571560537341,ML2,1.0,processing_time
3.0,2.240582358837128,0.3604079523307962,ML2,1.0,processing_time
5.0,2.4100797891616823,0.3688328466377388,ML2,1.0,processing_time
7.0,2.4844780564308167,0.30764872111960284,ML2,1.0,processing_time
