sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,5.182578919687582,1.1817709808337094,Baseline,4.0,delta_sdr
3.0,7.278781687732521,1.2890471252219107,Baseline,4.0,delta_sdr
5.0,7.829943537174103,1.7358275664276792,Baseline,4.0,delta_sdr
7.0,8.188928158496175,2.0428548499018544,Baseline,4.0,delta_sdr
1.0,4.939785910066747,1.078562518313059,Dynamic,4.0,delta_sdr
3.0,7.349469092748926,1.2172264009003089,Dynamic,4.0,delta_sdr
5.0,7.84693555545576,1.7533915592511797,Dynamic,4.0,delta_sdr
7.0,8.340782938672849,2.018523709936817,Dynamic,4.0,delta_sdr
1.0,4.292016921499263,0.8820870125261907,ML1,4.0,delta_sdr
3.0,6.215443237567565,1.0984770189626667,ML1,4.0,delta_sdr
5.0,6.359493793708719,1.0532865841145511,ML1,4.0,delta_sdr
7.0,6.262742435450832,0.9996450996694587,ML1,4.0,delta_sdr
1.0,4.9213726696977345,0.938661392759104,ML2,4.0,delta_sdr
3.0,7.855912520935722,1.3461196273804976,ML2,4.0,delta_sdr
5.0,8.555032363674984,1.6710715528063802,ML2,4.0,delta_sdr
7.0,9.007478325925037,1.787517030633147,ML2,4.0,delta_sdr
