sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,267326.5,36300.44847555352,Baseline,4.0,cycles
3.0,351991.8,39143.3640024919,Baseline,4.0,cycles
5.0,392010.25,37219.56413511441,Baseline,4.0,cycles
7.0,414996.9,35802.218283082315,Baseline,4.0,cycles
1.0,189877.5,23030.722708453683,Dynamic,4.0,cycles
3.0,245881.2,24730.988184653554,Dynamic,4.0,cycles
5.0,271389.65,23566.741277698962,Dynamic,4.0,cycles
7.0,285769.3,22610.06101414054,Dynamic,4.0,cycles
1.0,253.0,0.0,ML1,4.0,cycles
3.0,253.0,0.0,ML1,4.0,cycles
5.0,253.0,0.0,ML1,4.0,cycles
7.0,253.0,0.0,ML1,4.0,cycles
1.0,121224.05,17179.621509448185,ML2,4.0,cycles
3.0,157590.35,18798.530212072714,ML2,4.0,cycles
5.0,173748.15,18307.79022071723,ML2,4.0,cycles
7.0,182590.8,17993.800916748492,ML2,4.0,cycles
