sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,78.5563982129097,7.686990061878896,Baseline,4.0,processing_time
4.0,89.4106791973114,7.937730678547706,Baseline,4.0,processing_time
6.0,94.50929975509644,7.52239674047371,Baseline,4.0,processing_time
8.0,100.76760135889053,8.139554307509874,Baseline,4.0,processing_time
2.0,66.18884885311127,6.029280450459036,Dynamic,4.0,processing_time
4.0,74.50932899713516,6.067746843113639,Dynamic,4.0,processing_time
6.0,77.76484053134918,5.708663737456231,Dynamic,4.0,processing_time
8.0,83.70691316127777,5.754485893215972,Dynamic,4.0,processing_time
2.0,1.8192604064941407,0.07134143784054527,ML1,4.0,processing_time
4.0,1.8018210530281067,0.003282913622791208,ML1,4.0,processing_time
6.0,1.8011508226394652,0.0035196254749573245,ML1,4.0,processing_time
8.0,1.801251769065857,0.00450691752620099,ML1,4.0,processing_time
2.0,43.295380926132204,4.781830787352499,ML2,4.0,processing_time
4.0,49.95883386135101,5.261709538578879,ML2,4.0,processing_time
6.0,53.6945564866066,5.075724859455192,ML2,4.0,processing_time
8.0,54.64803800582886,4.859246192736216,ML2,4.0,processing_time
