metric,fold,Model,sdr_orig,mean,std,Duration,Metric
delta_pesq,fold_2,ML1,8.000000,0.788397,0.247455,4.000000,delta_pesq
delta_pesq,fold_2,ML2,2.000000,0.625761,0.233897,4.000000,delta_pesq
delta_pesq,fold_2,ML2,4.000000,1.268556,0.289092,4.000000,delta_pesq
delta_pesq,fold_2,ML2,6.000000,1.652151,0.355926,4.000000,delta_pesq
delta_pesq,fold_2,ML2,8.000000,1.765741,0.387076,4.000000,delta_pesq
cycles,fold_2,Baseline,2.000000,322496.050000,46526.510407,4.000000,cycles
cycles,fold_2,Baseline,4.000000,381023.700000,48468.752303,4.000000,cycles
cycles,fold_2,Baseline,6.000000,411836.700000,47814.512465,4.000000,cycles
cycles,fold_2,Baseline,8.000000,429012.150000,47097.099446,4.000000,cycles
cycles,fold_2,Dynamic,2.000000,226644.100000,29622.450790,4.000000,cycles
cycles,fold_2,Dynamic,4.000000,264694.500000,30595.967322,4.000000,cycles
cycles,fold_2,Dynamic,6.000000,284096.350000,29771.612499,4.000000,cycles
cycles,fold_2,Dynamic,8.000000,294532.300000,28952.091698,4.000000,cycles
cycles,fold_2,ML1,2.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,4.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,6.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,8.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML2,2.000000,147169.900000,21123.786759,4.000000,cycles
cycles,fold_2,ML2,4.000000,171800.350000,22623.026426,4.000000,cycles
cycles,fold_2,ML2,6.000000,183636.250000,22744.758408,4.000000,cycles
cycles,fold_2,ML2,8.000000,189685.300000,22657.304295,4.000000,cycles
delta_sdr,fold_2,Baseline,2.000000,6.413710,1.429199,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,4.000000,7.195548,1.846392,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,6.000000,7.406270,2.086481,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,8.000000,7.424474,2.248033,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,2.000000,6.425792,1.519164,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,4.000000,7.258097,1.762993,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,6.000000,7.498605,1.945210,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,8.000000,7.657421,2.260450,4.000000,delta_sdr
delta_sdr,fold_2,ML1,2.000000,5.296351,1.104348,4.000000,delta_sdr
delta_sdr,fold_2,ML1,4.000000,5.852759,1.070720,4.000000,delta_sdr
delta_sdr,fold_2,ML1,6.000000,5.917967,1.133325,4.000000,delta_sdr
delta_sdr,fold_2,ML1,8.000000,5.768103,1.040040,4.000000,delta_sdr
delta_sdr,fold_2,ML2,2.000000,6.484391,1.419998,4.000000,delta_sdr
delta_sdr,fold_2,ML2,4.000000,7.719107,1.758841,4.000000,delta_sdr
delta_sdr,fold_2,ML2,6.000000,8.218440,2.019784,4.000000,delta_sdr
delta_sdr,fold_2,ML2,8.000000,8.279575,2.060766,4.000000,delta_sdr
processing_time,fold_2,Baseline,2.000000,75.410669,11.343500,4.000000,processing_time
processing_time,fold_2,Baseline,4.000000,87.574649,11.453685,4.000000,processing_time
processing_time,fold_2,Baseline,6.000000,93.542626,11.201366,4.000000,processing_time
processing_time,fold_2,Baseline,8.000000,96.787726,10.787916,4.000000,processing_time
processing_time,fold_2,Dynamic,2.000000,63.002716,8.538221,4.000000,processing_time
processing_time,fold_2,Dynamic,4.000000,72.689930,8.649812,4.000000,processing_time
processing_time,fold_2,Dynamic,6.000000,77.324212,8.200988,4.000000,processing_time
processing_time,fold_2,Dynamic,8.000000,79.326349,7.858287,4.000000,processing_time
processing_time,fold_2,ML1,2.000000,1.840802,0.070990,4.000000,processing_time
processing_time,fold_2,ML1,4.000000,1.822030,0.002494,4.000000,processing_time
processing_time,fold_2,ML1,6.000000,1.820829,0.003306,4.000000,processing_time
processing_time,fold_2,ML1,8.000000,1.821601,0.002744,4.000000,processing_time
processing_time,fold_2,ML2,2.000000,43.311619,6.191406,4.000000,processing_time
processing_time,fold_2,ML2,4.000000,49.644208,6.678716,4.000000,processing_time
processing_time,fold_2,ML2,6.000000,52.266044,6.480099,4.000000,processing_time
processing_time,fold_2,ML2,8.000000,56.768778,6.720747,4.000000,processing_time
delta_pesq,fold_3,Baseline,2.000000,0.658599,0.237184,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,4.000000,1.387725,0.380606,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,6.000000,1.796604,0.344434,4.000000,delta_pesq
delta_pesq,fold_3,Baseline,8.000000,1.904957,0.358412,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,2.000000,0.673208,0.253154,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,4.000000,1.423681,0.366832,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,6.000000,1.797028,0.359716,4.000000,delta_pesq
delta_pesq,fold_3,Dynamic,8.000000,1.926620,0.335766,4.000000,delta_pesq
delta_pesq,fold_3,ML1,2.000000,0.652429,0.165238,4.000000,delta_pesq
delta_pesq,fold_3,ML1,4.000000,0.808060,0.206234,4.000000,delta_pesq
delta_pesq,fold_3,ML1,6.000000,0.850753,0.242914,4.000000,delta_pesq
delta_pesq,fold_3,ML1,8.000000,0.835957,0.217502,4.000000,delta_pesq
delta_pesq,fold_3,ML2,2.000000,0.703247,0.228351,4.000000,delta_pesq
delta_pesq,fold_3,ML2,4.000000,1.353552,0.290386,4.000000,delta_pesq
delta_pesq,fold_3,ML2,6.000000,1.701614,0.274047,4.000000,delta_pesq
delta_pesq,fold_3,ML2,8.000000,1.808456,0.321873,4.000000,delta_pesq
cycles,fold_3,Baseline,2.000000,324280.850000,50602.305254,4.000000,cycles
cycles,fold_3,Baseline,4.000000,382250.150000,51152.685190,4.000000,cycles
cycles,fold_3,Baseline,6.000000,413408.400000,47964.358588,4.000000,cycles
cycles,fold_3,Baseline,8.000000,431804.750000,44932.258296,4.000000,cycles
cycles,fold_3,Dynamic,2.000000,227275.650000,31893.187826,4.000000,cycles
cycles,fold_3,Dynamic,4.000000,265039.700000,32011.160297,4.000000,cycles
cycles,fold_3,Dynamic,6.000000,284580.000000,29725.236106,4.000000,cycles
cycles,fold_3,Dynamic,8.000000,295861.650000,27575.822424,4.000000,cycles
cycles,fold_3,ML1,2.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,4.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,6.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML1,8.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_3,ML2,2.000000,145605.350000,21885.755358,4.000000,cycles
cycles,fold_3,ML2,4.000000,169580.100000,22775.982246,4.000000,cycles
cycles,fold_3,ML2,6.000000,181561.000000,22171.067913,4.000000,cycles
cycles,fold_3,ML2,8.000000,188180.300000,21190.443142,4.000000,cycles
delta_sdr,fold_3,Baseline,2.000000,7.395977,1.713279,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,4.000000,8.452184,1.844454,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,6.000000,8.866432,2.175923,4.000000,delta_sdr
delta_sdr,fold_3,Baseline,8.000000,9.239644,2.583149,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,2.000000,7.433037,1.715083,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,4.000000,8.602079,1.774424,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,6.000000,9.110273,2.094558,4.000000,delta_sdr
delta_sdr,fold_3,Dynamic,8.000000,9.597357,2.300233,4.000000,delta_sdr
delta_sdr,fold_3,ML1,2.000000,5.971029,1.342060,4.000000,delta_sdr
delta_sdr,fold_3,ML1,4.000000,6.583443,1.203263,4.000000,delta_sdr
delta_sdr,fold_3,ML1,6.000000,6.401481,1.104188,4.000000,delta_sdr
delta_sdr,fold_3,ML1,8.000000,6.077564,0.951721,4.000000,delta_sdr
delta_sdr,fold_3,ML2,2.000000,7.298392,1.536970,4.000000,delta_sdr
delta_sdr,fold_3,ML2,4.000000,8.833920,1.491603,4.000000,delta_sdr
delta_sdr,fold_3,ML2,6.000000,9.257460,1.421905,4.000000,delta_sdr
delta_sdr,fold_3,ML2,8.000000,9.551513,1.382022,4.000000,delta_sdr
processing_time,fold_3,Baseline,2.000000,75.929338,12.002122,4.000000,processing_time
processing_time,fold_3,Baseline,4.000000,88.559877,11.803132,4.000000,processing_time
processing_time,fold_3,Baseline,6.000000,94.992842,11.106003,4.000000,processing_time
processing_time,fold_3,Baseline,8.000000,98.651438,10.148768,4.000000,processing_time
processing_time,fold_3,Dynamic,2.000000,62.225879,8.836618,4.000000,processing_time
processing_time,fold_3,Dynamic,4.000000,71.356743,8.785552,4.000000,processing_time
processing_time,fold_3,Dynamic,6.000000,76.103480,7.859208,4.000000,processing_time
processing_time,fold_3,Dynamic,8.000000,78.525736,7.346176,4.000000,processing_time
processing_time,fold_3,ML1,2.000000,1.867290,0.071067,4.000000,processing_time
processing_time,fold_3,ML1,4.000000,1.853410,0.009586,4.000000,processing_time
processing_time,fold_3,ML1,6.000000,1.849493,0.003013,4.000000,processing_time
processing_time,fold_3,ML1,8.000000,1.850800,0.004605,4.000000,processing_time
processing_time,fold_3,ML2,2.000000,43.515784,6.441699,4.000000,processing_time
processing_time,fold_3,ML2,4.000000,50.809716,6.622135,4.000000,processing_time
processing_time,fold_3,ML2,6.000000,53.705818,6.452985,4.000000,processing_time
processing_time,fold_3,ML2,8.000000,52.296734,5.830100,4.000000,processing_time
delta_pesq,fold_4,Baseline,2.000000,0.633657,0.267380,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,4.000000,1.339289,0.327662,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,6.000000,1.648446,0.465239,4.000000,delta_pesq
delta_pesq,fold_4,Baseline,8.000000,1.723081,0.530647,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,2.000000,0.619381,0.244703,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,4.000000,1.328608,0.327971,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,6.000000,1.634542,0.456460,4.000000,delta_pesq
delta_pesq,fold_4,Dynamic,8.000000,1.721942,0.511528,4.000000,delta_pesq
delta_pesq,fold_4,ML1,2.000000,0.620504,0.180800,4.000000,delta_pesq
delta_pesq,fold_4,ML1,4.000000,0.789414,0.245769,4.000000,delta_pesq
delta_pesq,fold_4,ML1,6.000000,0.843941,0.216752,4.000000,delta_pesq
delta_pesq,fold_4,ML1,8.000000,0.834249,0.269892,4.000000,delta_pesq
delta_pesq,fold_4,ML2,2.000000,0.681132,0.220278,4.000000,delta_pesq
delta_pesq,fold_4,ML2,4.000000,1.357413,0.334434,4.000000,delta_pesq
delta_pesq,fold_4,ML2,6.000000,1.643022,0.455092,4.000000,delta_pesq
delta_pesq,fold_4,ML2,8.000000,1.709065,0.517509,4.000000,delta_pesq
cycles,fold_4,Baseline,2.000000,344022.400000,32041.237422,4.000000,cycles
cycles,fold_4,Baseline,4.000000,398889.500000,33283.256993,4.000000,cycles
cycles,fold_4,Baseline,6.000000,425064.100000,32600.868241,4.000000,cycles
cycles,fold_4,Baseline,8.000000,438984.300000,32248.723379,4.000000,cycles
cycles,fold_4,Dynamic,2.000000,240355.950000,20517.673641,4.000000,cycles
cycles,fold_4,Dynamic,4.000000,275749.350000,20904.224525,4.000000,cycles
