Metric,Model,Avg_Difference,Avg_Percentage_Change,Max_Difference,Min_Difference,Std_Difference
delta_sdr,ML1,0.248713977570296,4.971947017756689,0.40874187611079993,0.0574569897558499,0.1644104381928735
cycles,ML1,0.0,0.0,0.0,0.0,0.0
processing_time,ML1,-0.04614551663398746,-8.205411762447712,-0.03376296758651737,-0.06535122394561776,0.013568018283839156
