sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,6.858943689183763,1.3866158771585921,Baseline,4.0,delta_sdr
4.0,7.549520034179669,1.6021975856359587,Baseline,4.0,delta_sdr
6.0,7.995817661331787,1.8543725466282923,Baseline,4.0,delta_sdr
8.0,8.011958925308205,2.2175907478211907,Baseline,4.0,delta_sdr
2.0,6.848192481022963,1.4072445188980558,Dynamic,4.0,delta_sdr
4.0,7.706245759054998,1.5377948178870549,Dynamic,4.0,delta_sdr
6.0,8.137171634123948,1.813202729391168,Dynamic,4.0,delta_sdr
8.0,8.195011758473965,2.219829974524419,Dynamic,4.0,delta_sdr
2.0,5.82583421740417,1.1461274707645441,ML1,4.0,delta_sdr
4.0,6.326885281396655,1.0443093397337335,ML1,4.0,delta_sdr
6.0,6.326481776860147,1.0228047981050161,ML1,4.0,delta_sdr
8.0,6.216870686945979,1.0143654424257813,ML1,4.0,delta_sdr
2.0,6.970752134931106,1.2921143851466734,ML2,4.0,delta_sdr
4.0,8.27187793778218,1.5068733398854721,ML2,4.0,delta_sdr
6.0,8.750669913745273,1.6547874404434688,ML2,4.0,delta_sdr
8.0,9.081400392316445,2.006036917818205,ML2,4.0,delta_sdr
