sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,69.17701666355133,7.4989334742952725,Baseline,4.0,processing_time
3.0,87.98708847761154,8.577303228733838,Baseline,4.0,processing_time
5.0,94.44285885095596,7.961823523048788,Baseline,4.0,processing_time
7.0,98.19915803670884,7.424078057281742,Baseline,4.0,processing_time
1.0,58.96722186803818,5.51157746520114,Dynamic,4.0,processing_time
3.0,75.29685527086258,7.2590881276389725,Dynamic,4.0,processing_time
5.0,80.39715064764023,5.893870423839795,Dynamic,4.0,processing_time
7.0,82.48581957817078,6.023134323365956,Dynamic,4.0,processing_time
1.0,1.8829166173934937,0.07231180900012363,ML1,4.0,processing_time
3.0,1.8667875289916993,0.0048992457681370566,ML1,4.0,processing_time
5.0,1.8619662642478942,0.006782277280356209,ML1,4.0,processing_time
7.0,2.0042044043540956,0.20181691598049317,ML1,4.0,processing_time
1.0,38.38590409755707,4.417067742783996,ML2,4.0,processing_time
3.0,48.04341638088226,5.309703826401922,ML2,4.0,processing_time
5.0,51.38261531591415,5.144899452214155,ML2,4.0,processing_time
7.0,53.45844918489456,5.031077779097526,ML2,4.0,processing_time
