sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,4.620567256151201,1.0040862443952403,Baseline,4.0,delta_sdr
3.0,7.104164211431663,1.336904456477475,Baseline,4.0,delta_sdr
5.0,7.8988219207601045,1.6220416366338894,Baseline,4.0,delta_sdr
7.0,8.104525089032116,2.3632063889013692,Baseline,4.0,delta_sdr
1.0,4.405757100958466,0.9213041983302965,Dynamic,4.0,delta_sdr
3.0,7.094015865515331,1.3735437484675155,Dynamic,4.0,delta_sdr
5.0,7.984567470122833,1.5689258712302094,Dynamic,4.0,delta_sdr
7.0,8.166748700355413,2.2489986595687657,Dynamic,4.0,delta_sdr
1.0,3.877309235146298,0.8441378211393061,ML1,4.0,delta_sdr
3.0,5.807956384331831,1.332245959862487,ML1,4.0,delta_sdr
5.0,5.941442776959235,1.313478189395237,ML1,4.0,delta_sdr
7.0,5.787623955818489,1.18851661136979,ML1,4.0,delta_sdr
1.0,4.4835144572919905,0.9120865790000525,ML2,4.0,delta_sdr
3.0,7.430308349093262,1.5963361710066517,ML2,4.0,delta_sdr
5.0,8.262641097906878,1.6876724343690297,ML2,4.0,delta_sdr
7.0,8.607604589474551,1.9005664172171048,ML2,4.0,delta_sdr
