sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,285936.65,28390.260207693173,Baseline,4.0,cycles
3.0,377100.95,33425.587349049645,Baseline,4.0,cycles
5.0,414188.5,32878.30238366298,Baseline,4.0,cycles
7.0,433103.9,32450.015296241625,Baseline,4.0,cycles
1.0,201781.05,18223.800890376995,Dynamic,4.0,cycles
3.0,261885.35,21156.57889286451,Dynamic,4.0,cycles
5.0,285315.25,20381.29134350784,Dynamic,4.0,cycles
7.0,296921.35,19843.141435492194,Dynamic,4.0,cycles
1.0,253.0,0.0,ML1,4.0,cycles
3.0,253.0,0.0,ML1,4.0,cycles
5.0,253.0,0.0,ML1,4.0,cycles
7.0,253.0,0.0,ML1,4.0,cycles
1.0,128559.75,14093.515798614251,ML2,4.0,cycles
3.0,166814.15,17416.247179528116,ML2,4.0,cycles
5.0,181431.05,17520.04137064029,ML2,4.0,cycles
7.0,188496.05,17398.419052422098,ML2,4.0,cycles
