sdr_orig_rounded,duration,mean,std,Dataset,Metric
1.0,1.0,2.7034655588049783,0.9864965669685659,Bird,delta_sdr
1.0,2.0,2.8955071344107814,0.9820642262747418,Bird,delta_sdr
1.0,4.0,3.135682992910386,0.9814828086941492,Bird,delta_sdr
1.0,8.0,3.1846305965994683,0.9176668539339533,Bird,delta_sdr
3.0,1.0,6.054348275854062,3.031525669458132,Bird,delta_sdr
3.0,2.0,6.740351343153127,2.876485108928245,Bird,delta_sdr
3.0,4.0,7.374261168134856,2.7367355904088826,Bird,delta_sdr
3.0,8.0,7.5972429117121125,2.423400994301142,Bird,delta_sdr
5.0,1.0,6.622658521837187,3.4886287902826427,Bird,delta_sdr
5.0,2.0,7.5479630506266435,3.24993274119475,Bird,delta_sdr
5.0,4.0,8.556813109764743,3.4241709438744206,Bird,delta_sdr
5.0,8.0,9.005092881862296,3.1778606714307758,Bird,delta_sdr
7.0,1.0,6.975230413831935,4.022544464647366,Bird,delta_sdr
7.0,2.0,8.542939818294213,4.338945276803853,Bird,delta_sdr
7.0,4.0,9.60925793565507,4.3762968855265365,Bird,delta_sdr
7.0,8.0,10.034926799349654,4.050336837718469,Bird,delta_sdr
1.0,1.0,3.130082547216393,1.0103277266134383,Heart,delta_sdr
1.0,2.0,3.1557723001048616,0.9858866927971097,Heart,delta_sdr
1.0,4.0,3.1136553240901477,0.9514103848032676,Heart,delta_sdr
1.0,8.0,3.113458261935038,0.9545525155651783,Heart,delta_sdr
3.0,1.0,7.275710222368922,3.584253576969641,Heart,delta_sdr
3.0,2.0,7.099082810311684,3.3131760545443805,Heart,delta_sdr
3.0,4.0,7.116244526484376,3.5543013711064093,Heart,delta_sdr
3.0,8.0,7.069785199218478,3.4021607778497223,Heart,delta_sdr
5.0,1.0,8.13857152461402,4.924570635350454,Heart,delta_sdr
5.0,2.0,8.084698914344246,4.279130817416754,Heart,delta_sdr
5.0,4.0,8.210436491717703,4.150517817190587,Heart,delta_sdr
5.0,8.0,8.133986871195582,4.068468881726825,Heart,delta_sdr
7.0,1.0,8.751819345319358,5.668733637042616,Heart,delta_sdr
7.0,2.0,8.907778991075016,5.096812222717913,Heart,delta_sdr
7.0,4.0,9.222176346256845,4.95757552843447,Heart,delta_sdr
7.0,8.0,8.930702347728213,4.930630629650342,Heart,delta_sdr
1.0,1.0,3.25564223915209,1.0069739714894228,Lung,delta_sdr
1.0,2.0,3.080755184823881,0.7477291233174945,Lung,delta_sdr
1.0,4.0,2.9041350670040758,0.6441771742978896,Lung,delta_sdr
1.0,8.0,2.803801301717169,0.5891778966312526,Lung,delta_sdr
3.0,1.0,6.473789199071867,1.910180221222372,Lung,delta_sdr
3.0,2.0,5.83721292514576,1.4924329751916312,Lung,delta_sdr
3.0,4.0,5.512269957520771,1.4628616642802152,Lung,delta_sdr
3.0,8.0,5.229542794274423,1.272739362371773,Lung,delta_sdr
5.0,1.0,7.83293939511328,2.547344326305485,Lung,delta_sdr
5.0,2.0,7.520929374501201,2.4532120937533555,Lung,delta_sdr
5.0,4.0,7.203432044765594,2.465999358468236,Lung,delta_sdr
5.0,8.0,6.727396767955418,2.287035452283174,Lung,delta_sdr
7.0,1.0,8.523155353768521,2.910891359737209,Lung,delta_sdr
7.0,2.0,8.626775348357233,2.8561718254689135,Lung,delta_sdr
7.0,4.0,8.362918074760085,2.697955446776777,Lung,delta_sdr
7.0,8.0,7.856034323409688,2.5474771595071024,Lung,delta_sdr
1.0,1.0,5.139169174095915,1.4765290527465356,Speech,delta_sdr
1.0,2.0,5.06942639962053,1.3105789978876126,Speech,delta_sdr
1.0,4.0,5.048923578375121,1.2269193409942458,Speech,delta_sdr
1.0,8.0,4.970385558925037,1.1862620958698122,Speech,delta_sdr
3.0,1.0,7.50537745627025,2.0855358351179243,Speech,delta_sdr
3.0,2.0,7.380768512255832,1.694767496934914,Speech,delta_sdr
3.0,4.0,7.346041241836339,1.5624055320173456,Speech,delta_sdr
3.0,8.0,7.253444044847856,1.4567580733983814,Speech,delta_sdr
5.0,1.0,8.147858066469617,2.6541129945188024,Speech,delta_sdr
5.0,2.0,8.015141487389123,2.0633824232520572,Speech,delta_sdr
5.0,4.0,8.007476215860832,1.826144667679638,Speech,delta_sdr
5.0,8.0,7.912851563848501,1.7120860497039667,Speech,delta_sdr
7.0,1.0,8.511363457239675,3.11314460875689,Speech,delta_sdr
7.0,2.0,8.07065423962048,2.4682135800146,Speech,delta_sdr
7.0,4.0,8.287585701779356,2.2292930303736966,Speech,delta_sdr
7.0,8.0,8.215378329172118,1.9982459168951765,Speech,delta_sdr
