sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,322496.05,46526.51040731056,Baseline,4.0,cycles
4.0,381023.7,48468.752302901295,Baseline,4.0,cycles
6.0,411836.7,47814.51246453374,Baseline,4.0,cycles
8.0,429012.15,47097.09944613865,Baseline,4.0,cycles
2.0,226644.1,29622.450790432227,Dynamic,4.0,cycles
4.0,264694.5,30595.967321992302,Dynamic,4.0,cycles
6.0,284096.35,29771.612498583097,Dynamic,4.0,cycles
8.0,294532.3,28952.091698092154,Dynamic,4.0,cycles
2.0,253.0,0.0,ML1,4.0,cycles
4.0,253.0,0.0,ML1,4.0,cycles
6.0,253.0,0.0,ML1,4.0,cycles
8.0,253.0,0.0,ML1,4.0,cycles
2.0,147169.9,21123.78675905685,ML2,4.0,cycles
4.0,171800.35,22623.026425757595,ML2,4.0,cycles
6.0,183636.25,22744.758408026093,ML2,4.0,cycles
8.0,189685.3,22657.30429475809,ML2,4.0,cycles
